kaptCode,기본정보.1.kaptName,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt,기본정보.1.kaptAddr,기본정보.1.kaptDongCnt,기본정보.1.kaptdaCnt,기본정보.1.hoCnt,기본정보.1.privArea,기본정보.1.bjdCode
A40470311,청라엑슬루타워,2826012200,52250,36500,92.43,15750,616,인천광역시 서구 청라동 164-1 청라엑슬루타워,2,616,616,71436.56,2826012200
A44147001,서수원자이,4111314000,44750,29000,84.8086,15750,921,경기도 수원권선구 입북동 810 서수원자이,17,921,921,78108.7206,4111314000
A10023609,화성시청역 센트럴파크 스타힐스2단지,4159026222,40785.71429,25000,75.79238571,15785.71429,1005,경기도 화성시 남양읍 신남리 67-15 화성시청역 센트럴파크 스타힐스2단지,11,1005,1005,75780.1146,4159026222
A44851609,상현마을현대성우1차,4146510700,65316.66667,49500,134.5019,15816.66667,470,경기도 용인수지구 상현동 851 상현마을현대성우1차,9,470,470,60516.849,4146510700
A44589606,한울마을 신창비바패밀리2단지,4159025323,40933.33333,25000,123.3429,15933.33333,444,경기도 화성시 봉담읍 수영리 673 한울마을 신창비바패밀리2단지,6,444,444,42826.7227,4159025323
A10025256,영종국제도시 화성파크드림,2811014500,44000,28000,84.7363,16000,657,인천광역시 중구 중산동 1889-2 영종국제도시 화성파크드림,5,657,657,54064.6467,2811014500
A10023305,서희스타힐스포레스트2단지,4146110200,41842.85714,25714.28571,62.13898571,16128.57143,838,경기도 용인처인구 역북동 233 서희스타힐스포레스트2단지,10,838,838,59214.4475,4146110200
A44670701,신동백롯데캐슬에코2단지,4146311600,56166.66667,40000,84.91,16166.66667,868,경기도 용인기흥구 중동 1101 신동백롯데캐슬에코2단지,9,868,868,86362.78,4146311600
A47103006,구리토평주공,4131010500,51233.33333,35000,59.92,16233.33333,693,경기도 구리시 수택동 879 구리토평주공,9,693,693,40303.48,4131010500
A10024527,더샵인천스카이타워2단지,2817710400,49033.33333,32500,74.96536667,16533.33333,588,인천광역시 미추홀구 도화동 1002 더샵인천스카이타워2단지,3,588,588,47661.6054,2817710400
A41273301,화정은빛마을11단지부영,4128112300,44537.5,28000,60,16537.5,1350,경기도 고양덕양구 화정동 961 화정은빛마을11단지부영,11,1350,1350,74520,4128112300
A44171716,권선삼천리2차,4111313700,29707.69231,13000,59.955,16707.69231,546,경기도 수원권선구 권선동 1238 권선삼천리2차,5,546,546,32735.43,4111313700
A10026847,배곧 이지더원1차 더 퍼스트,4139013500,37772.72727,21000,59.5476,16772.72727,840,경기도 시흥시 배곧동 14 배곧 이지더원1차 더 퍼스트,9,840,840,49985.083,4139013500
A10024511,시흥시청역 트리플포레아파트,4139011800,49557.14286,32750,59.95,16807.14286,614,경기도 시흥시 능곡동  시흥시청역 트리플포레아파트,7,614,614,34769.03,4139011800
A10025756,남양주라온프라이빗4단지,4136025629,51900,35000,84.8657,16900,356,경기도 남양주시 화도읍 녹촌리 29-1 남양주라온프라이빗4단지,5,356,356,25078.4638,4136025629
A14272313,송천센트레빌,1130510100,74000,57000,84.965,17000,376,서울특별시 강북구 미아동 461 송천센트레빌,5,376,376,26707.48,1130510100
A48308001,"동두천신창비바패밀리1,2단지",4125010700,22000,5000,101.452,17000,485,"경기도 동두천시 동두천동 220-3 동두천신창비바패밀리1,2단지",8,485,485,43120.094,4125010700
A15303204,벽산6,1154510300,49288.88889,32222.22222,90.44,17066.66667,1288,서울특별시 금천구 시흥동 1013-4 벽산6,4,1288,1288,42194.88,1154510300
A10025100,은계어반리더스아파트,4139010100,54130,37000,74.95,17130,1198,경기도 시흥시 대야동 659 은계어반리더스아파트,14,1198,1198,95546.62,4139010100
A47274109,퇴계원쌍용예가,4136026521,45250,28000,84.9,17250,552,경기도 남양주시 퇴계원읍 퇴계원리 365 퇴계원쌍용예가,8,552,552,47163.08,4136026521
A44271814,화서꽃뫼버들마을진흥,4111513800,47387.5,30000,59.96,17387.5,824,경기도 수원팔달구 화서동 706 화서꽃뫼버들마을진흥,9,824,824,49407.04,4111513800
A44774513,오산역e편한세상1단지,4137010300,45466.66667,28000,104.8322,17466.66667,1008,경기도 오산시 원동 888 오산역e편한세상1단지,13,1008,1008,92568.6785,4137010300
A10023386,호반써밋더프라임아파트,4139013200,48000,30500,84.7402,17500,826,경기도 시흥시 정왕동 2732 호반써밋더프라임아파트,8,826,826,57854.2343,4139013200
A10024498,은계파크자이아파트,4139010600,54575,37000,59.96,17575,1719,경기도 시흥시 은행동 647 은계파크자이아파트,17,1719,1719,127496.7,4139010600
A10024648,평내호평역 대명루첸포레스티움아파트,4136010200,49187.5,31500,62.987675,17687.5,1008,경기도 남양주시 평내동 191 평내호평역 대명루첸포레스티움아파트,11,1008,1008,60939.0883,4136010200
